Cell ID,CheckUp ID,CheckUp Date,Cycles / Days of Aging Test,10s Pulse resistance [Ohm],Capacity [Ah]
DC01,0,43717,0.00,0.001739705,56.61505
DC01,1,43749,50.00,0.002100678,56.37365
DC01,2,43755,150.00,0.002162351,56.01474
DC01,3,43769,450.00,0.001977108,55.26057
DC01,4,43790,1050.00,0.000589389,52.67067
DC01,5,43810,1650.00,0.001655041,49.93574
DC01,6,43830,2250.00,0.001680611,48.70154
DC01,7,43854,2850.00,0.002207565,47.95856
DC01,8,43890,3850.00,0.001758635,45.76413
DC01,9,43949,4950.00,0.001620955,44.49873
DC01,10,43978,6050.00,0.001810432,42.32673
DC01,11,44007,7050.00,0.002123405,40.657
DC01,12,44025,7550.00,0.001943067,39.353
DC01,13,44043,8050.00,0.002047672,38.438
DC01,14,44060,8550.00,0.002152344,37.337
DC01,15,44084,9050.00,0.002328466,33.094
DC01,16,44351,9050.00,0.003302943,31.912
